,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,"{'text': ""I'm going to show you the absolute best"", 'start': 0.04, 'duration': 4.279}","{'text': ""natural vitamin for arthritis and it's"", 'start': 1.959, 'duration': 4.161}","{'text': 'not vitamin D I took this for a', 'start': 4.319, 'duration': 3.241}","{'text': 'different purpose and then I woke up and', 'start': 6.12, 'duration': 4.599}","{'text': ""I'm like why is my neck so loose"", 'start': 7.56, 'duration': 4.76}","{'text': ""normally it's stiff from all the"", 'start': 10.719, 'duration': 4.481}","{'text': 'injuries so this nutrient is a precursor', 'start': 12.32, 'duration': 8.64}","{'text': 'to Something in the cells called n a NAD', 'start': 15.2, 'duration': 8.239}","{'text': 'is kind of like a helper molecule that', 'start': 20.96, 'duration': 4.88}","{'text': 'helps you turn food into energy if', 'start': 23.439, 'duration': 4.961}","{'text': ""you're deficient in NAD you get low"", 'start': 25.84, 'duration': 4.599}","{'text': 'carage repair you get inflammation you', 'start': 28.4, 'duration': 3.999}","{'text': 'get joint pain you get fatigue you age', 'start': 30.439, 'duration': 4.561}","{'text': 'faster you have more damage in your DNA', 'start': 32.399, 'duration': 4.241}","{'text': 'and you develop a poor immune system the', 'start': 35.0, 'duration': 4.28}","{'text': 'precursor for NAD that you need to take', 'start': 36.64, 'duration': 4.96}","{'text': 'is called ni acetamide this is actually', 'start': 39.28, 'duration': 4.52}","{'text': ""a version of vitamin B3 you'd want to"", 'start': 41.6, 'duration': 6.36}","{'text': 'take 100 to 150 migrs three to six times', 'start': 43.8, 'duration': 6.079}","{'text': ""a day it's much better to space it out"", 'start': 47.96, 'duration': 3.72}","{'text': 'through the day than to take a large', 'start': 49.879, 'duration': 3.36}","{'text': 'amount all at once make sure you have', 'start': 51.68, 'duration': 3.44}","{'text': 'sufficient protein in no alcohol and', 'start': 53.239, 'duration': 3.881}","{'text': 'watch your arthritis vanish to see the', 'start': 55.12, 'duration': 3.48}","{'text': 'complete video on this go to my YouTube', 'start': 57.12, 'duration': 3.84}","{'text': 'channel', 'start': 58.6, 'duration': 2.36}",,,,,,,,,,
1,"{'text': ""I'm going to give you three tips to help"", 'start': 0.12, 'duration': 3.16}","{'text': ""you lose more weight while you're"", 'start': 1.76, 'duration': 3.32}","{'text': ""sleeping and by the way if you don't"", 'start': 3.28, 'duration': 3.639}","{'text': ""burn fat when you're awake at all and"", 'start': 5.08, 'duration': 3.68}","{'text': 'the last tip is going to be the most', 'start': 6.919, 'duration': 3.8}","{'text': ""important tip number three let's go"", 'start': 8.76, 'duration': 4.16}","{'text': 'backwards you want to do a full body', 'start': 10.719, 'duration': 5.04}","{'text': 'workout that intensity stimulates growth', 'start': 12.92, 'duration': 5.199}","{'text': 'hormone which is the main hormone while', 'start': 15.759, 'duration': 4.321}","{'text': ""you're sleeping that helps you burn fat"", 'start': 18.119, 'duration': 3.16}","{'text': 'exercise to the point where you have', 'start': 20.08, 'duration': 3.199}","{'text': 'muscle fatigue and only do that twice a', 'start': 21.279, 'duration': 3.881}","{'text': 'week number two make sure you have a', 'start': 23.279, 'duration': 3.361}","{'text': 'comfortable mattress a really good', 'start': 25.16, 'duration': 3.6}","{'text': 'pillow make sure your room is slightly', 'start': 26.64, 'duration': 5.08}","{'text': 'cooler like about 68° crack the window', 'start': 28.76, 'duration': 4.76}","{'text': ""open so you get fresh air while you're"", 'start': 31.72, 'duration': 3.92}","{'text': 'sleeping and if your dog is in your bed', 'start': 33.52, 'duration': 4.199}","{'text': 'waking you up put the dog somewhere else', 'start': 35.64, 'duration': 4.0}","{'text': 'now for the most important tip you want', 'start': 37.719, 'duration': 5.32}","{'text': 'to be in bed between 9 and 9:30 and', 'start': 39.64, 'duration': 6.48}","{'text': 'sleep until 6:00 this extra sleep will', 'start': 43.039, 'duration': 5.801}","{'text': 'allow you to heal and repair build lean', 'start': 46.12, 'duration': 5.119}","{'text': 'muscle which is at the heart of your', 'start': 48.84, 'duration': 4.879}","{'text': 'metabolic rate hands down the most', 'start': 51.239, 'duration': 4.48}","{'text': 'powerful thing you can do to get the', 'start': 53.719, 'duration': 3.52}","{'text': 'weight off and for more tips on this', 'start': 55.719, 'duration': 5.48}","{'text': 'check out Dr Berg on YouTube', 'start': 57.239, 'duration': 3.96}",,,,,,,,
2,"{'text': 'the absolute number one most', 'start': 0.32, 'duration': 6.84}","{'text': 'inflammatory food in the world is ultr', 'start': 2.919, 'duration': 6.961}","{'text': 'processed foods now this is a group or a', 'start': 7.16, 'duration': 5.519}","{'text': 'category of foods composed of primarily', 'start': 9.88, 'duration': 4.48}","{'text': 'three ingredients yes it has', 'start': 12.679, 'duration': 3.16}","{'text': 'preservatives and colorings and', 'start': 14.36, 'duration': 3.12}","{'text': 'artificial flavorings and that type of', 'start': 15.839, 'duration': 4.36}","{'text': ""thing but it's composed of synthetic"", 'start': 17.48, 'duration': 6.68}","{'text': 'sugars synthetic starches and synthetic', 'start': 20.199, 'duration': 6.441}","{'text': ""oils and I'm talking about highly highly"", 'start': 24.16, 'duration': 5.08}","{'text': ""refined food particles that don't"", 'start': 26.64, 'duration': 5.759}","{'text': 'resemble the original food so you can', 'start': 29.24, 'duration': 5.12}","{'text': 'even take corn for example turn into', 'start': 32.399, 'duration': 3.601}","{'text': 'starch and then turn into a fiber and', 'start': 34.36, 'duration': 3.6}","{'text': 'turn into a sugar and of course turn', 'start': 36.0, 'duration': 4.039}","{'text': 'into an oil right if we were to', 'start': 37.96, 'duration': 5.36}","{'text': 'eliminate ultrapress Foods in all these', 'start': 40.039, 'duration': 5.2}","{'text': ""forms it's in cereals and cookies and"", 'start': 43.32, 'duration': 4.8}","{'text': 'bars and candy and chips we will', 'start': 45.239, 'duration': 8.84}","{'text': 'eliminate 99% of all inflammation', 'start': 48.12, 'duration': 5.959}",,,,,,,,,,,,,,,,
3,"{'text': 'you know if you went to your kitchen', 'start': 0.12, 'duration': 3.96}","{'text': 'right now and looked in your spice rack', 'start': 1.719, 'duration': 5.08}","{'text': 'in your cupboard you probably would have', 'start': 4.08, 'duration': 5.24}","{'text': 'this right here this is called ginger', 'start': 6.799, 'duration': 5.161}","{'text': 'right well did you realize that Ginger', 'start': 9.32, 'duration': 5.16}","{'text': 'is one of the most amazing things for', 'start': 11.96, 'duration': 5.72}","{'text': 'bloating for any type of inflammation', 'start': 14.48, 'duration': 7.639}","{'text': 'nausea motion sickness and immune system', 'start': 17.68, 'duration': 6.32}","{'text': 'not to mention a lot of other things so', 'start': 22.119, 'duration': 3.32}","{'text': 'if you have any of these problems you', 'start': 24.0, 'duration': 5.0}","{'text': 'can use this in smoothies in a tea in', 'start': 25.439, 'duration': 6.08}","{'text': 'various recipes I think a lot of people', 'start': 29.0, 'duration': 3.96}","{'text': 'like have different things around the', 'start': 31.519, 'duration': 2.921}","{'text': ""house but they don't even know what they"", 'start': 32.96, 'duration': 3.48}","{'text': 'actually do so if you have any of these', 'start': 34.44, 'duration': 3.799}","{'text': 'symptoms you might want to start using', 'start': 36.44, 'duration': 4.84}","{'text': 'more Ginger', 'start': 38.239, 'duration': 3.041}",,,,,,,,,,,,,,,,,,,
4,"{'text': ""all right we're at our favorite"", 'start': 0.56, 'duration': 4.239}","{'text': ""restaurant KFC and let's see we got we"", 'start': 2.0, 'duration': 5.08}","{'text': ""have uh these things right here let's"", 'start': 4.799, 'duration': 5.321}","{'text': 'see if it bounces yeah it does all right', 'start': 7.08, 'duration': 5.92}","{'text': 'so now we have our wonderful chicken', 'start': 10.12, 'duration': 5.04}","{'text': 'right here right we have our tub', 'start': 13.0, 'duration': 4.52}","{'text': 'delicious chicken highly addictive some', 'start': 15.16, 'duration': 4.44}","{'text': 'of the first ingredient is MSG okay then', 'start': 17.52, 'duration': 4.36}","{'text': 'they have mulle textured which is a', 'start': 19.6, 'duration': 4.8}","{'text': 'another uh thing that will really spike', 'start': 21.88, 'duration': 3.88}","{'text': 'your blood sugars and then when they', 'start': 24.4, 'duration': 4.0}","{'text': 'cook this with oils they use seed oils', 'start': 25.76, 'duration': 4.919}","{'text': ""you're going to create a lot of um"", 'start': 28.4, 'duration': 4.56}","{'text': 'inflammatory things but I want to just', 'start': 30.679, 'duration': 4.081}","{'text': ""mention the MSG in here because there's"", 'start': 32.96, 'duration': 3.8}","{'text': 'some resar reports that says that it was', 'start': 34.76, 'duration': 3.84}","{'text': 'back checked right and it said that msgd', 'start': 36.76, 'duration': 3.959}","{'text': 'has have been found to be safe well not', 'start': 38.6, 'duration': 4.2}","{'text': ""if you're consuming a lot of it over a"", 'start': 40.719, 'duration': 3.881}","{'text': ""period of time it's an ingredient that"", 'start': 42.8, 'duration': 3.84}","{'text': 'will stimulate hunger and make you want', 'start': 44.6, 'duration': 3.959}","{'text': 'to eat more and more and more so I want', 'start': 46.64, 'duration': 3.599}","{'text': 'to share with you a couple of the things', 'start': 48.559, 'duration': 4.441}","{'text': 'creas liver toxicity impaired fertility', 'start': 50.239, 'duration': 5.561}","{'text': 'CH development cardiovascular toxicity', 'start': 53.0, 'duration': 5.0}","{'text': ""and neurotoxicity other than that it's"", 'start': 55.8, 'duration': 5.12}","{'text': 'totally safe', 'start': 58.0, 'duration': 2.92}",,,,,,,,,
5,"{'text': 'now think about what breathing problems', 'start': 0.04, 'duration': 5.48}","{'text': 'involve right the diaphragm so you here', 'start': 2.32, 'duration': 6.359}","{'text': 'you have this gallbladder /b duct issue', 'start': 5.52, 'duration': 5.039}","{'text': 'congestion whatever you want to call it', 'start': 8.679, 'duration': 4.08}","{'text': 'that backs up that that breathing', 'start': 10.559, 'duration': 4.521}","{'text': 'apparatus and that can affect your', 'start': 12.759, 'duration': 5.641}","{'text': 'breathing big timeon and this usually', 'start': 15.08, 'duration': 4.84}","{'text': 'can be easily corrected by changing your', 'start': 18.4, 'duration': 3.4}","{'text': 'diet to the healthy version of the', 'start': 19.92, 'duration': 4.32}","{'text': 'ketogenic diet within a minute fasting', 'start': 21.8, 'duration': 5.0}","{'text': 'but as an immediate remedy you want to', 'start': 24.24, 'duration': 5.039}","{'text': ""take something called tdka it's a type"", 'start': 26.8, 'duration': 5.319}","{'text': 'of Bol that is very unique because it', 'start': 29.279, 'duration': 5.201}","{'text': 'helps to increase the flow of bile', 'start': 32.119, 'duration': 3.921}","{'text': 'sludge through the bile duck so you', 'start': 34.48, 'duration': 3.8}","{'text': 'would take two of these in the morning', 'start': 36.04, 'duration': 3.72}","{'text': 'on an empty stomach and then 2 in the', 'start': 38.28, 'duration': 3.56}","{'text': 'afternoon on an empty stomach and within', 'start': 39.76, 'duration': 5.84}","{'text': ""a few days you'll just feel a lot better"", 'start': 41.84, 'duration': 3.76}",,,,,,,,,,,,,,,,,
6,"{'text': 'so right now in your kitchen in your', 'start': 0.08, 'duration': 5.36}","{'text': 'cupboard you probably have this right', 'start': 1.8, 'duration': 5.559}","{'text': 'garlic powder this is like a natural', 'start': 5.44, 'duration': 4.96}","{'text': 'remedy for so many different things okay', 'start': 7.359, 'duration': 5.521}","{'text': 'blood pressure control cholesterol', 'start': 10.4, 'duration': 5.239}","{'text': 'control decreasing your risk for cancer', 'start': 12.88, 'duration': 3.68}","{'text': ""it's"", 'start': 15.639, 'duration': 2.961}","{'text': ""antiviral it's actually considered a"", 'start': 16.56, 'duration': 4.16}","{'text': 'broad spectrum', 'start': 18.6, 'duration': 3.8}","{'text': ""antimicrobial so if you're concerned"", 'start': 20.72, 'duration': 2.719}","{'text': 'about any of the symptoms that I', 'start': 22.4, 'duration': 3.879}","{'text': 'mentioned start including this simple', 'start': 23.439, 'duration': 6.92}","{'text': 'remedy in your foods', 'start': 26.279, 'duration': 4.08}",,,,,,,,,,,,,,,,,,,,,,,
7,"{'text': ""there's this carb that is way more"", 'start': 0.08, 'duration': 6.08}","{'text': 'dangerous than sugar okay now people', 'start': 2.919, 'duration': 4.761}","{'text': 'tend to think sugar is the worst thing', 'start': 6.16, 'duration': 3.359}","{'text': ""but there's other things that are even"", 'start': 7.68, 'duration': 4.36}","{'text': 'worse than sugar and this specific carb', 'start': 9.519, 'duration': 5.08}","{'text': ""is bad and I'm going to tell you why we"", 'start': 12.04, 'duration': 4.36}","{'text': 'take a look at the glycemic index where', 'start': 14.599, 'duration': 4.721}","{'text': 'is Sugar well table sugar is about 65', 'start': 16.4, 'duration': 6.28}","{'text': ""not terribly High where's glucose 100"", 'start': 19.32, 'duration': 6.08}","{'text': 'where is this carbohydrate between', 'start': 22.68, 'duration': 4.48}","{'text': '116 and', 'start': 25.4, 'duration': 4.639}","{'text': '136 on the glycemic index so in other', 'start': 27.16, 'duration': 5.439}","{'text': ""words it's a carb that's not classified"", 'start': 30.039, 'duration': 4.761}","{'text': 'as a sugar but acts like a sugar in a', 'start': 32.599, 'duration': 4.601}","{'text': 'much more deadly way as far as what it', 'start': 34.8, 'duration': 4.24}","{'text': 'can do to your blood sugars it just will', 'start': 37.2, 'duration': 4.679}","{'text': 'really spike it and this carb is called', 'start': 39.04, 'duration': 5.08}","{'text': ""maltodextrin it's in other forms too"", 'start': 41.879, 'duration': 4.081}","{'text': ""it's in modified food starch it's in"", 'start': 44.12, 'duration': 4.32}","{'text': ""modified corn starch I mean and it's in"", 'start': 45.96, 'duration': 4.079}","{'text': 'many foods they put in a lot of', 'start': 48.44, 'duration': 4.48}","{'text': 'sugar-free products as no sugar even', 'start': 50.039, 'duration': 5.36}","{'text': 'though it really to me it is a sugar so', 'start': 52.92, 'duration': 5.56}","{'text': 'start reading the labels and avoid', 'start': 55.399, 'duration': 6.081}","{'text': 'maltodextrin', 'start': 58.48, 'duration': 3.0}",,,,,,,,,,,
8,"{'text': 'zinc is involved in so many different', 'start': 0.08, 'duration': 5.92}","{'text': ""things it's involved in 300 different"", 'start': 2.919, 'duration': 5.961}","{'text': 'enzymes and over a thousand different', 'start': 6.0, 'duration': 4.92}","{'text': 'factors related to your DNA its', 'start': 8.88, 'duration': 5.44}","{'text': 'functions are very wide in helping', 'start': 10.92, 'duration': 6.24}","{'text': 'certain enzymes not just for digestion', 'start': 14.32, 'duration': 5.0}","{'text': 'but for a lot of other things and if you', 'start': 17.16, 'duration': 3.92}","{'text': 'can identify early signs of a zinc', 'start': 19.32, 'duration': 3.4}","{'text': 'deficiency sometimes they call it a', 'start': 21.08, 'duration': 4.519}","{'text': 'subclinical deficiency then you can', 'start': 22.72, 'duration': 6.16}","{'text': 'prevent Advanced problems related to', 'start': 25.599, 'duration': 5.6}","{'text': 'zinc and that can include a complete', 'start': 28.88, 'duration': 3.839}","{'text': 'loss of appetite and then you end up', 'start': 31.199, 'duration': 4.721}","{'text': 'having anorexia necrosis because the', 'start': 32.719, 'duration': 5.881}","{'text': 'tissue is not healing and so zinc', 'start': 35.92, 'duration': 4.52}","{'text': 'actually helps with wound healing and if', 'start': 38.6, 'duration': 4.36}","{'text': ""you're deficient in zinc you can develop"", 'start': 40.44, 'duration': 5.119}","{'text': 'uh ulcers externally or internally on', 'start': 42.96, 'duration': 5.119}","{'text': 'your body even ulcers in your mouth and', 'start': 45.559, 'duration': 5.0}","{'text': 'even some elderly that have these ulcers', 'start': 48.079, 'duration': 4.561}","{'text': ""because they're in this bed and they're"", 'start': 50.559, 'duration': 5.561}","{'text': 'unhealing ulcers or or wounds um they', 'start': 52.64, 'duration': 6.719}","{'text': 'need zinc big time', 'start': 56.12, 'duration': 3.239}",,,,,,,,,,,,,
9,"{'text': 'I think you already know that stress can', 'start': 0.08, 'duration': 3.359}","{'text': 'also cause disease too right it can', 'start': 1.599, 'duration': 4.76}","{'text': 'cause ulcers heart attacks it can cause', 'start': 3.439, 'duration': 4.881}","{'text': 'osteoporosis it can cause high blood', 'start': 6.359, 'duration': 4.561}","{'text': 'pressure it can cause anxiety depression', 'start': 8.32, 'duration': 5.16}","{'text': 'all sorts of mood problems and it can', 'start': 10.92, 'duration': 5.4}","{'text': 'also suppress your immune system to the', 'start': 13.48, 'duration': 5.84}","{'text': 'point where you develop infections or', 'start': 16.32, 'duration': 4.84}","{'text': 'maybe a virus that was in remission', 'start': 19.32, 'duration': 5.199}","{'text': 'comes out of remission', 'start': 21.16, 'duration': 3.359}",,,,,,,,,,,,,,,,,,,,,,,,,,
