,channelName,video_id,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition,caption,is_informative
0,Dr. Eric Berg DC,zqdxQWTdIM4,The Absolute Best Natural Vitamin for Arthritis - And It's Not Vitamin D #drberg #arthritis #health,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-11T01:32:38Z,617781,52725,971,PT1M,hd,false,0
1,Dr. Eric Berg DC,aYV9EWaiz_Y,3 Tips to Lose Weight While Sleeping #health #weightloss #keto #drberg,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-07T21:30:23Z,508893,34807,451,PT1M,hd,false,0
2,Dr. Eric Berg DC,G4guVvCYAEA,Discover the biggest culprit behind inflammation: ultra-processed foods! #DrBerg #HealthyLifestyle,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-07T00:00:12Z,164534,11330,212,PT53S,hd,false,0
3,Dr. Eric Berg DC,u0-U3-f4VHM,Explore the health advantages provided by ginger in this video! 🌿✨#DrBerg HealthyLifestyle #Ginger,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-06T20:14:30Z,115334,9901,242,PT40S,hd,false,0
4,Dr. Eric Berg DC,llDg68l626M,"Craving some KFC? 🍗🍟 Before your next run, discover what's really in that juicy chicken! #kfc","Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-05T19:31:40Z,352103,22403,1080,PT59S,hd,false,0
5,Dr. Eric Berg DC,OahN4mwd6C4,Tudca to the rescue! Let's find out the amazing benefits of this compound  #ketodietdrberg  #tudca,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-05T01:00:09Z,78386,5270,165,PT44S,hd,false,0
6,Dr. Eric Berg DC,VghsZO9QO_M,"From blood pressure to cholesterol control, Garlic a versatile remedy with antiviral properties","Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-04T21:13:03Z,147679,12272,269,PT29S,hd,false,0
7,Dr. Eric Berg DC,9tHeg6Iq1kk,A carb that is more dangerous than sugar. It can spike blood sugars significantly. What is it?,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-02T00:00:12Z,2011387,101811,2077,PT1M,hd,false,0
8,Dr. Eric Berg DC,AD2sPmVxcwU,Uncover the significance of zinc! It involves in 300+ enzymes and many other important functions,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-01T18:19:02Z,149117,10414,146,PT58S,hd,false,0
9,Dr. Eric Berg DC,IjQJkjrXCC4,Learn effective stress management to safeguard against physical issues like elevated BP and anxiety,"Dr. Eric Berg DC Bio:
Dr. Berg, age 58, is a chiropractor who specializes in Healthy Ketosis & Intermittent Fasting. He is the author of the best-selling book The Healthy Keto Plan, and is the Director of Dr. Berg Nutritionals. He no longer practices, but focuses on health education through social media.

Follow Me On Social Media:
Facebook:  https://bit.ly/FB-DrBerg

Instagram:  https://bit.ly/IG-DrBerg

Anchor:  https://bit.ly/Anchor-DrBerg

TikTok:  https://bit.ly/TikTok-DrBerg

Disclaimer:
Dr. Eric Berg received his Doctor of Chiropractic degree from Palmer College of Chiropractic in 1988.  His use of “doctor” or “Dr.” in relation to himself solely refers to that degree.  Dr. Berg is a licensed chiropractor in Virginia, California, and Louisiana, but he no longer practices chiropractic in any state and does not see patients so he can focus on educating people as a full time activity, yet he maintains an active license. This video is for general informational purposes only.  It should not be used to self-diagnose and it is not a substitute for a medical exam, cure, treatment, diagnosis, and prescription or recommendation.  It does not create a doctor-patient relationship between Dr. Berg and you.  You should not make any change in your health regimen or diet before first consulting a physician and obtaining a medical exam, diagnosis, and recommendation.  Always seek the advice of a physician or other qualified health provider with any questions you may have regarding a medical condition. 

#keto #ketodiet #weightloss #ketolifestyle",,2024-03-01T00:00:17Z,78025,5555,99,PT23S,hd,false,0
